,country,HSCode,value,Sections Name,country.1,code
215,TIMOR LESTE,2941,26.240000000000013,573,Timor Leste,Unknown code
216,TOGO,12195,2420.0400000000004,2435,Togo,TGO
217,TOKELAU IS,1757,1.2200000000000004,339,Tokelau Is,Unknown code
218,TONGA,1508,2.869999999999997,297,Tonga,TON
219,TRINIDAD,9347,1307.5399999999995,1861,Trinidad,TTO
220,TUNISIA,32089,3801.850000000016,6277,Tunisia,TUN
221,TURKEY,86054,19822.220000000045,16855,Turkey,TUR
222,TURKMENISTAN,6055,266.79,1221,Turkmenistan,TKM
223,TURKS C IS,2257,8.129999999999997,439,Turks C Is,TCA
224,TUVALU,880,3.52,168,Tuvalu,TUV
225,Trade to Unspecified Countries,54,23856.84,10,Trade To Unspecified Countries,Unknown code
226,U ARAB EMTS,102500,354791.85,20047,United Arab Emirates,ARE
227,U K,109333,101166.18000000004,21397,United Kingdom,GBR
228,U S A,110584,349848.2900000001,21643,United States,USA
229,UGANDA,15096,417.1200000000003,2998,Uganda,UGA
230,UKRAINE,52641,27963.969999999965,10345,Ukraine,UKR
231,UNION OF SERBIA & MONTENEGRO,9036,92.19000000000004,1762,Union Of Serbia & Montenegro,Unknown code
232,URUGUAY,20952,324.9199999999999,4121,Uruguay,URY
233,US MINOR OUTLYING ISLANDS               ,3686,3.1699999999999995,712,Us Minor Outlying Islands               ,Unknown code
234,UZBEKISTAN,13436,856.8099999999997,2665,Uzbekistan,UZB
235,VANUATU REP,1921,126.21000000000002,370,Vanuatu Rep,Unknown code
236,VATICAN CITY,428,0.51,84,Vatican City,VAT
237,VENEZUELA,17225,87070.76999999999,3377,Venezuela,VEN
238,VIETNAM SOC REP,74505,34756.10000000002,14524,Vietnam Soc Rep,VNM
239,VIRGIN IS US,6423,34.129999999999995,1249,Virgin Is Us,VIR
240,WALLIS F IS,807,1.58,155,Wallis F Is,WLF
241,YEMEN REPUBLC,16031,11433.950000000012,3178,Yemen Republic,YEM
242,ZAMBIA,16264,5002.720000000001,3224,Zambia,ZMB
243,ZIMBABWE,12569,498.70999999999947,2474,Zimbabwe,ZWE
